Time[s], Channel 0, Channel 2
146.835728999999986, 0, 0
146.836012999999980, 1, 0
146.934404000000001, 1, 1
146.934714999999983, 0, 1
147.024374999999992, 0, 0
147.026686999999981, 1, 0
147.119504000000006, 0, 0
147.122591000000000, 0, 1
147.218244999999996, 1, 1
147.218422000000004, 1, 0
147.302605999999997, 1, 1
147.303991999999994, 0, 1
147.394772999999986, 1, 1
147.396094000000005, 1, 0
147.484075999999988, 1, 1
147.484841999999986, 0, 1
147.584422999999987, 1, 1
147.584586999999999, 1, 0
147.674025000000000, 1, 1
147.674422999999990, 0, 1
147.764176999999989, 1, 1
147.764279999999985, 1, 0
147.858359000000007, 0, 0
147.859340000000003, 0, 1
147.954064999999986, 0, 0
147.954141999999990, 1, 0
148.044499000000002, 0, 0
148.045579000000004, 0, 1
148.154312000000004, 1, 1
148.157163999999995, 1, 0
148.229547999999994, 1, 1
148.230136999999985, 0, 1
148.323144999999982, 1, 1
148.323203000000007, 1, 0
148.413891000000007, 0, 0
148.415285999999981, 0, 1
148.507949999999994, 0, 0
148.508094999999997, 1, 0
148.601515000000006, 1, 1
148.603328000000005, 0, 1
148.693856999999980, 1, 1
148.694937999999979, 1, 0
148.786157000000003, 1, 1
148.790494999999993, 0, 1
148.876721000000003, 1, 1
148.877599000000004, 1, 0
148.973143999999991, 0, 0
148.974591000000004, 0, 1
149.064304999999990, 1, 1
149.069574999999986, 1, 0
149.166143000000005, 0, 0
149.167325000000005, 0, 1
149.253863999999993, 0, 0
149.253883000000002, 1, 0
149.343234999999993, 0, 0
149.345350999999994, 0, 1
149.434215999999992, 1, 1
149.434520999999989, 1, 0
149.533639999999991, 1, 1
149.533814000000007, 0, 1
149.623335999999995, 0, 0
149.624268999999998, 1, 0
149.713134999999994, 1, 1
149.713274999999982, 0, 1
149.807866999999987, 0, 0
149.812487000000004, 1, 0
149.901502999999991, 1, 1
149.901724999999999, 0, 1
149.994542999999993, 1, 1
149.995227000000000, 1, 0
150.099749000000003, 0, 0
150.100632999999988, 0, 1
150.185030999999981, 0, 0
150.186059000000000, 1, 0
150.277742999999987, 0, 0
150.278047999999984, 0, 1
150.365194000000002, 1, 1
150.366659999999996, 1, 0
150.455147999999980, 0, 0
150.456515999999993, 0, 1
150.552859999999981, 0, 0
150.553596999999996, 1, 0
150.643376999999987, 1, 1
150.644210999999984, 0, 1
150.739238999999998, 1, 1
150.740143999999987, 1, 0
150.832091999999989, 0, 0
150.832222000000002, 0, 1
150.935241999999988, 0, 0
150.935351999999995, 1, 0
151.014081000000004, 1, 1
151.014657999999997, 0, 1
151.114959999999996, 0, 0
151.115792999999996, 1, 0
151.201585999999992, 0, 0
151.202546999999981, 0, 1
151.293250999999998, 1, 1
151.294571999999988, 1, 0
151.383973999999995, 0, 0
151.385790999999983, 0, 1
151.483737999999988, 0, 0
151.484790000000004, 1, 0
151.572580999999985, 1, 1
151.574935999999980, 0, 1
151.666893999999985, 1, 1
151.667393000000004, 1, 0
151.761245000000002, 1, 1
151.762011999999999, 0, 1
151.853127999999998, 1, 1
151.854197999999997, 1, 0
151.940250999999989, 0, 0
151.945609999999988, 0, 1
152.036752000000007, 1, 1
152.036776000000003, 1, 0
152.135385999999983, 0, 0
152.136171999999988, 0, 1
152.223258999999985, 0, 0
152.224614000000003, 1, 0
152.320241999999979, 1, 1
152.320349999999991, 0, 1
152.413443999999998, 1, 1
152.414578000000006, 1, 0
152.502664999999979, 1, 1
152.502726999999993, 0, 1
152.592408000000006, 0, 0
152.592827999999997, 1, 0
152.686624999999992, 0, 0
152.687179999999984, 0, 1
152.780555999999990, 1, 1
152.780591999999984, 1, 0
152.870722999999998, 0, 0
152.871288999999990, 0, 1
152.966818999999987, 1, 1
152.967385000000007, 1, 0
153.063243999999997, 1, 1
153.063293999999985, 0, 1
153.156102000000004, 0, 0
153.156368999999984, 1, 0
153.245535999999987, 1, 1
153.246294000000006, 0, 1
153.337622999999979, 1, 1
153.338445000000007, 1, 0
153.425243999999992, 0, 0
153.425515999999988, 0, 1
153.522862000000003, 1, 1
153.523195999999984, 1, 0
153.617433000000005, 0, 0
153.618875000000003, 0, 1
153.710143999999985, 0, 0
153.710613999999993, 1, 0
153.801223999999991, 0, 0
153.802289999999999, 0, 1
153.897674999999992, 0, 0
153.897709999999989, 1, 0
153.989923000000005, 0, 0
153.991516999999988, 0, 1
154.084419999999994, 1, 1
154.084802999999994, 1, 0
154.173083999999989, 0, 0
154.177290999999997, 0, 1
154.268629000000004, 1, 1
154.268676999999997, 1, 0
154.359915999999998, 1, 1
154.360022999999984, 0, 1
154.450680000000006, 1, 1
154.451153000000005, 1, 0
154.546562999999992, 0, 0
154.547830000000005, 0, 1
154.638249000000002, 1, 1
154.639114000000006, 1, 0
154.730673999999993, 0, 0
154.731655999999987, 0, 1
154.821747999999985, 1, 1
154.823660999999987, 1, 0
154.920235999999989, 1, 1
154.921741999999995, 0, 1
155.011388999999980, 0, 0
155.011846999999989, 1, 0
155.106397999999984, 1, 1
155.107450999999998, 0, 1
155.199590999999998, 0, 0
155.202504000000005, 1, 0
155.289008999999993, 1, 1
155.289392999999990, 0, 1
155.379006000000004, 1, 1
155.380007000000006, 1, 0
155.475599999999986, 1, 1
